songid,song,performer,peak,start_week,end_week,start_peak,end_peak,weeks_to_hot,weeks_hot,tail_weeks,time_at_top_10,climb_slope,tail_slope,avg_position,weeks_on_chart,instance,group
StillBill Anderson,Still,Bill Anderson,8.0,1963-04-13,1963-07-20,1963-06-08,1963-06-22,8.0,3.0,4.0,3.0,11.375,7.0,34.06666666666667,15.0,1.0,9
Saturday NightBay City Rollers,Saturday Night,Bay City Rollers,1.0,1975-10-11,1976-01-31,1975-12-06,1976-01-10,8.0,6.0,3.0,6.0,9.5,15.333333333333334,27.58823529411765,17.0,1.0,2
Pop MuzikM,Pop Muzik,M,1.0,1979-08-11,1980-01-19,1979-10-06,1979-12-01,8.0,9.0,7.0,9.0,6.625,12.857142857142858,25.208333333333332,24.0,1.0,5
CarrieEurope,Carrie,Europe,3.0,1987-08-01,1987-12-05,1987-09-26,1987-10-24,8.0,5.0,6.0,5.0,8.125,15.0,35.73684210526316,19.0,1.0,5
CasanovaLevert,Casanova,Levert,5.0,1987-08-15,1987-12-12,1987-10-10,1987-10-31,8.0,4.0,6.0,4.0,10.0,15.166666666666666,34.666666666666664,18.0,1.0,0
Party LightsClaudine Clark,Party Lights,Claudine Clark,5.0,1962-06-30,1962-10-06,1962-08-25,1962-09-08,8.0,3.0,4.0,3.0,11.0,12.5,34.46666666666667,15.0,1.0,9
CandidaDawn,Candida,Dawn,3.0,1970-07-25,1970-11-21,1970-09-19,1970-11-07,8.0,8.0,2.0,8.0,11.0,8.5,28.0,18.0,1.0,2
Only The YoungJourney,Only The Young,Journey,9.0,1985-01-26,1985-05-11,1985-03-23,1985-03-23,8.0,1.0,7.0,1.0,4.25,12.142857142857142,37.375,16.0,1.0,0
St. Elmo's Fire (Man In Motion)John Parr,St. Elmo's Fire (Man In Motion),John Parr,1.0,1985-06-22,1985-11-16,1985-08-17,1985-09-28,8.0,7.0,7.0,7.0,10.375,13.0,35.81818181818182,22.0,1.0,5
Crush On YouThe Jets,Crush On You,The Jets,3.0,1986-04-12,1986-08-23,1986-06-07,1986-07-05,8.0,5.0,7.0,5.0,8.125,13.285714285714286,35.0,20.0,1.0,5
Take Your Time (Do It Right) Part 1The S.O.S. Band,Take Your Time (Do It Right) Part 1,The S.O.S. Band,3.0,1980-05-31,1980-10-18,1980-07-26,1980-09-06,8.0,7.0,6.0,7.0,9.875,13.333333333333334,34.857142857142854,21.0,1.0,5
Self ControlLaura Branigan,Self Control,Laura Branigan,4.0,1984-04-14,1984-09-29,1984-06-09,1984-07-14,8.0,6.0,11.0,6.0,6.75,8.272727272727273,36.64,25.0,1.0,5
1-2-3Gloria Estefan & Miami Sound Machine,1-2-3,Gloria Estefan & Miami Sound Machine,3.0,1988-06-04,1988-10-08,1988-07-30,1988-08-27,8.0,5.0,6.0,5.0,8.5,14.0,33.36842105263158,19.0,1.0,5
All Night LongFaith Evans Featuring Puff Daddy,All Night Long,Faith Evans Featuring Puff Daddy,9.0,1999-02-06,1999-06-12,1999-04-03,1999-04-10,8.0,2.0,9.0,2.0,7.75,8.11111111111111,42.05263157894737,19.0,1.0,0
Dance MonkeyTones And I,Dance Monkey,Tones And I,9.0,2019-10-19,2019-12-28,2019-12-21,2019-12-21,9.0,1.0,1.0,1.0,9.666666666666666,2.0,33.81818181818182,11.0,1.0,9
Broken WingsMr. Mister,Broken Wings,Mr. Mister,1.0,1985-09-21,1986-02-15,1985-11-16,1986-01-11,8.0,9.0,5.0,9.0,9.625,13.4,28.136363636363637,22.0,1.0,5
Beast Of BurdenThe Rolling Stones,Beast Of Burden,The Rolling Stones,8.0,1978-09-09,1978-12-02,1978-11-04,1978-11-11,8.0,2.0,3.0,2.0,7.625,28.666666666666668,34.23076923076923,13.0,1.0,9
CenterfoldThe J. Geils Band,Centerfold,The J. Geils Band,1.0,1981-11-07,1982-04-24,1982-01-09,1982-03-27,9.0,12.0,4.0,12.0,6.888888888888889,23.0,22.76,25.0,1.0,5
Do You Feel Like We DoPeter Frampton,Do You Feel Like We Do,Peter Frampton,10.0,1976-09-18,1977-01-15,1976-11-13,1976-11-20,8.0,2.0,8.0,2.0,8.375,9.5,41.666666666666664,18.0,1.0,0
Run It!Chris Brown,Run It!,Chris Brown,1.0,2005-08-27,2006-05-13,2005-10-22,2006-02-11,8.0,17.0,13.0,17.0,10.5,3.076923076923077,22.36842105263158,38.0,1.0,3
Paperback WriterThe Beatles,Paperback Writer,The Beatles,1.0,1966-06-11,1966-08-13,1966-06-25,1966-07-23,2.0,5.0,3.0,5.0,13.5,10.333333333333334,12.5,10.0,1.0,2
Penny LaneThe Beatles,Penny Lane,The Beatles,1.0,1967-02-25,1967-04-29,1967-03-11,1967-04-08,2.0,5.0,3.0,5.0,40.0,6.333333333333333,19.7,10.0,1.0,2
AmericansByron MacGregor,Americans,Byron MacGregor,4.0,1974-01-05,1974-03-23,1974-01-26,1974-02-16,3.0,4.0,5.0,4.0,18.333333333333332,15.2,27.833333333333332,12.0,1.0,9
One Fine DayThe Chiffons,One Fine Day,The Chiffons,5.0,1963-06-01,1963-08-03,1963-06-22,1963-07-13,3.0,4.0,3.0,4.0,18.666666666666668,10.333333333333334,22.0,10.0,1.0,9
BabyJustin Bieber Featuring Ludacris,Baby,Justin Bieber Featuring Ludacris,5.0,2010-02-06,2010-06-19,2010-04-03,2010-04-24,8.0,4.0,8.0,5.0,0.625,5.375,22.0,20.0,1.0,0
Pray For MeThe Weeknd & Kendrick Lamar,Pray For Me,The Weeknd & Kendrick Lamar,7.0,2018-02-17,2018-06-30,2018-02-17,2018-03-31,0.0,7.0,13.0,6.0,-1.0,3.923076923076923,21.25,20.0,1.0,7
Bobby Sox To StockingsFrankie Avalon,Bobby Sox To Stockings,Frankie Avalon,8.0,1959-05-23,1959-08-15,1959-07-04,1959-07-04,6.0,1.0,6.0,1.0,8.666666666666666,9.0,26.307692307692307,13.0,1.0,9
Be My GuestFats Domino,Be My Guest,Fats Domino,8.0,1959-10-24,1960-01-23,1959-11-28,1959-12-05,5.0,2.0,7.0,2.0,14.2,9.142857142857142,32.714285714285715,14.0,1.0,9
A Song For MamaBoyz II Men,A Song For Mama,Boyz II Men,7.0,1997-12-13,1998-04-25,1998-02-07,1998-02-28,8.0,4.0,8.0,6.0,2.375,6.0,20.65,20.0,1.0,0
That's Old Fashioned (That's The Way Love Should Be)The Everly Brothers,That's Old Fashioned (That's The Way Love Should Be),The Everly Brothers,9.0,1962-05-12,1962-07-21,1962-06-23,1962-06-23,6.0,1.0,4.0,1.0,10.333333333333334,13.75,34.90909090909091,11.0,1.0,9
Doin ItLL Cool J,Doin It,LL Cool J,9.0,1996-03-09,1996-07-20,1996-04-13,1996-04-13,5.0,1.0,14.0,1.0,3.8,6.214285714285714,36.95,20.0,1.0,7
Blow Me (One Last Kiss)P!nk,Blow Me (One Last Kiss),P!nk,5.0,2012-07-21,2013-01-19,2012-09-22,2012-11-03,9.0,7.0,11.0,11.0,5.777777777777778,3.3636363636363638,19.62962962962963,27.0,1.0,4
Devoted To YouThe Everly Brothers,Devoted To You,The Everly Brothers,10.0,1958-08-09,1958-11-08,1958-09-20,1958-09-20,6.0,1.0,7.0,1.0,5.5,8.285714285714286,26.785714285714285,14.0,1.0,9
Call Me When You're SoberEvanescence,Call Me When You're Sober,Evanescence,10.0,2006-09-02,2007-01-27,2006-09-09,2006-09-09,1.0,1.0,20.0,1.0,15.0,1.85,22.272727272727273,22.0,1.0,7
Don't Forget About UsMariah Carey,Don't Forget About Us,Mariah Carey,1.0,2005-10-22,2006-03-11,2005-12-17,2006-02-04,8.0,8.0,5.0,8.0,9.25,8.0,21.047619047619047,21.0,1.0,5
Baby Sittin' BoogieBuzz Clifford,Baby Sittin' Boogie,Buzz Clifford,6.0,1961-01-07,1961-04-08,1961-03-04,1961-03-18,8.0,3.0,3.0,3.0,11.125,16.0,32.857142857142854,14.0,1.0,9
"Shake Ya TailfeatherNelly, P. Diddy & Murphy Lee",Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",1.0,2003-06-28,2004-01-17,2003-08-23,2003-11-08,8.0,12.0,10.0,12.0,7.75,3.0,19.066666666666666,30.0,1.0,8
ShawtyPlies Featuring T-Pain,Shawty,Plies Featuring T-Pain,9.0,2007-06-30,2007-11-24,2007-08-25,2007-09-29,8.0,6.0,8.0,5.0,10.5,4.0,28.636363636363637,22.0,1.0,0
Asia MinorKokomo,Asia Minor,Kokomo,8.0,1961-02-18,1961-05-20,1961-04-15,1961-04-15,8.0,1.0,5.0,1.0,8.375,8.6,30.642857142857142,14.0,1.0,9
Pink HousesJohn Mellencamp,Pink Houses,John Mellencamp,8.0,1983-12-10,1984-03-24,1984-02-04,1984-02-11,8.0,2.0,6.0,2.0,4.375,15.166666666666666,35.6875,16.0,1.0,0
A Little Bitty TearBurl Ives,A Little Bitty Tear,Burl Ives,9.0,1961-12-16,1962-03-24,1962-02-10,1962-02-24,8.0,3.0,4.0,2.0,8.0,11.0,26.933333333333334,15.0,1.0,9
Chug-A-LugRoger Miller,Chug-A-Lug,Roger Miller,9.0,1964-09-05,1964-11-28,1964-10-31,1964-11-07,8.0,2.0,3.0,2.0,10.75,12.0,36.07692307692308,13.0,1.0,9
Swearin' To GodFrankie Valli,Swearin' To God,Frankie Valli,6.0,1975-05-17,1975-08-16,1975-07-12,1975-07-26,8.0,3.0,3.0,3.0,9.25,18.333333333333332,33.142857142857146,14.0,1.0,9
Count On MeJefferson Starship,Count On Me,Jefferson Starship,8.0,1978-03-11,1978-06-10,1978-05-06,1978-05-27,8.0,4.0,2.0,4.0,7.5,39.0,28.428571428571427,14.0,1.0,9
Cum On Feel The NoizeQuiet Riot,Cum On Feel The Noize,Quiet Riot,5.0,1983-09-17,1984-02-04,1983-11-12,1983-12-10,8.0,5.0,8.0,5.0,10.625,8.125,33.095238095238095,21.0,1.0,0
Simply IrresistibleRobert Palmer,Simply Irresistible,Robert Palmer,2.0,1988-07-02,1988-11-12,1988-08-27,1988-10-01,8.0,6.0,6.0,6.0,6.75,14.0,29.6,20.0,1.0,5
SomedaySugar Ray,Someday,Sugar Ray,7.0,1999-07-03,2000-02-05,1999-09-04,1999-10-16,9.0,7.0,16.0,7.0,6.222222222222222,2.5625,22.84375,32.0,1.0,4
SwitchWill Smith,Switch,Will Smith,7.0,2005-03-05,2005-09-10,2005-06-04,2005-07-02,13.0,5.0,10.0,5.0,6.076923076923077,4.0,25.107142857142858,28.0,1.0,4
That's The Way Love IsMarvin Gaye,That's The Way Love Is,Marvin Gaye,7.0,1969-08-23,1969-11-08,1969-10-18,1969-10-18,8.0,1.0,3.0,1.0,8.5,6.666666666666667,27.166666666666668,12.0,1.0,9
Angel Of The MorningJuice Newton,Angel Of The Morning,Juice Newton,4.0,1981-02-21,1981-07-18,1981-04-18,1981-05-23,8.0,6.0,8.0,6.0,8.0,10.5,29.136363636363637,22.0,1.0,5
AutomaticThe Pointer Sisters,Automatic,The Pointer Sisters,5.0,1984-01-28,1984-06-09,1984-03-24,1984-04-28,8.0,6.0,6.0,6.0,9.25,14.333333333333334,33.4,20.0,1.0,0
CherishKool & The Gang,Cherish,Kool & The Gang,2.0,1985-07-06,1985-12-21,1985-08-31,1985-10-12,8.0,7.0,10.0,7.0,7.75,8.8,37.08,25.0,1.0,5
SlamOnyx,Slam,Onyx,4.0,1993-05-29,1993-10-09,1993-07-24,1993-08-28,8.0,6.0,6.0,6.0,9.0,9.0,28.15,20.0,1.0,5
Pimpin' All Over The WorldLudacris Featuring Bobby Valentino,Pimpin' All Over The World,Ludacris Featuring Bobby Valentino,9.0,2005-06-11,2005-10-22,2005-08-06,2005-08-27,8.0,4.0,8.0,3.0,9.0,7.75,29.9,20.0,1.0,0
(i've Been) Searchin' So LongChicago,(i've Been) Searchin' So Long,Chicago,9.0,1974-03-16,1974-06-22,1974-05-11,1974-05-25,8.0,3.0,4.0,3.0,8.875,7.25,29.666666666666668,15.0,1.0,9
Stop And Smell The RosesMac Davis,Stop And Smell The Roses,Mac Davis,9.0,1974-08-24,1974-11-23,1974-10-26,1974-11-02,9.0,2.0,3.0,2.0,8.222222222222221,29.0,36.57142857142857,14.0,1.0,9
RiseHerb Alpert,Rise,Herb Alpert,1.0,1979-07-28,1980-01-12,1979-09-22,1979-11-17,8.0,9.0,8.0,9.0,9.875,11.0,36.4,25.0,1.0,5
Run To YouBryan Adams,Run To You,Bryan Adams,6.0,1984-11-03,1985-03-09,1985-01-05,1985-01-26,9.0,4.0,6.0,4.0,5.666666666666667,14.166666666666666,33.10526315789474,19.0,1.0,0
Return Of The MackMark Morrison,Return Of The Mack,Mark Morrison,2.0,1997-03-01,1997-11-29,1997-04-26,1997-08-02,8.0,15.0,17.0,15.0,4.25,2.5294117647058822,19.525,40.0,1.0,3
See The Funny Little ClownBobby Goldsboro,See The Funny Little Clown,Bobby Goldsboro,9.0,1964-01-11,1964-04-04,1964-03-07,1964-03-14,8.0,2.0,3.0,2.0,9.125,9.333333333333334,36.46153846153846,13.0,1.0,9
She's Out Of My LifeMichael Jackson,She's Out Of My Life,Michael Jackson,10.0,1980-04-19,1980-08-02,1980-06-21,1980-06-28,9.0,2.0,5.0,2.0,5.222222222222222,17.2,31.5,16.0,1.0,0
Suddenly Last SummerThe Motels,Suddenly Last Summer,The Motels,9.0,1983-09-03,1984-01-14,1983-11-12,1983-11-19,10.0,2.0,8.0,2.0,5.0,11.375,37.0,20.0,1.0,0
RoniBobby Brown,Roni,Bobby Brown,3.0,1989-01-07,1989-04-29,1989-03-04,1989-03-25,8.0,4.0,5.0,4.0,10.5,18.2,37.88235294117647,17.0,1.0,2
Release MeWilson Phillips,Release Me,Wilson Phillips,1.0,1990-06-30,1990-11-24,1990-08-25,1990-10-06,8.0,7.0,7.0,7.0,8.75,12.428571428571429,32.54545454545455,22.0,1.0,5
PlaygroundAnother Bad Creation,Playground,Another Bad Creation,10.0,1991-04-27,1991-08-17,1991-06-29,1991-06-29,9.0,1.0,7.0,1.0,6.222222222222222,12.857142857142858,38.94117647058823,17.0,1.0,0
Ride Wit MeNelly Featuring City Spud,Ride Wit Me,Nelly Featuring City Spud,3.0,2001-02-24,2001-09-08,2001-04-28,2001-07-14,9.0,12.0,8.0,12.0,5.444444444444445,3.75,19.413793103448278,29.0,1.0,8
RoyalsLorde,Royals,Lorde,1.0,2013-07-20,2014-05-17,2013-09-14,2014-02-15,8.0,23.0,13.0,23.0,10.25,3.076923076923077,18.522727272727273,44.0,1.0,3
16 CandlesThe Crests,16 Candles,The Crests,2.0,1958-11-22,1959-04-11,1959-01-17,1959-03-07,8.0,8.0,5.0,8.0,10.75,10.8,28.761904761904763,21.0,1.0,5
A Summer SongChad & Jeremy,A Summer Song,Chad & Jeremy,7.0,1964-08-15,1964-11-14,1964-10-10,1964-10-24,8.0,3.0,3.0,3.0,10.875,8.333333333333334,36.142857142857146,14.0,1.0,9
Don't Know MuchLinda Ronstadt (Featuring Aaron Neville),Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),2.0,1989-09-30,1990-03-24,1989-11-25,1990-01-13,8.0,8.0,10.0,8.0,7.875,7.6,30.692307692307693,26.0,1.0,5
Dirt Off Your ShoulderJAY-Z,Dirt Off Your Shoulder,JAY-Z,5.0,2004-01-24,2004-07-17,2004-03-20,2004-05-01,8.0,7.0,11.0,7.0,7.5,3.5454545454545454,20.615384615384617,26.0,1.0,5
One Night In BangkokMurray Head,One Night In Bangkok,Murray Head,3.0,1985-02-23,1985-07-06,1985-04-20,1985-05-25,8.0,6.0,6.0,6.0,9.0,13.333333333333334,34.1,20.0,1.0,5
Black VelvetAlannah Myles,Black Velvet,Alannah Myles,1.0,1990-01-06,1990-06-16,1990-03-03,1990-04-14,8.0,7.0,9.0,7.0,9.625,8.88888888888889,34.916666666666664,24.0,1.0,5
Tell MeGroove Theory,Tell Me,Groove Theory,5.0,1995-08-26,1996-04-06,1995-10-21,1995-12-02,8.0,7.0,18.0,7.0,6.625,1.9444444444444444,24.151515151515152,33.0,1.0,4
ButterflyCrazy Town,Butterfly,Crazy Town,1.0,2001-01-06,2001-06-09,2001-03-10,2001-04-28,9.0,8.0,6.0,8.0,8.11111111111111,7.166666666666667,23.652173913043477,23.0,1.0,5
Puttin' On The RitzTaco,Puttin' On The Ritz,Taco,4.0,1983-06-25,1983-11-12,1983-08-20,1983-09-24,8.0,6.0,7.0,6.0,8.25,13.142857142857142,32.23809523809524,21.0,1.0,5
Poker FaceLady Gaga,Poker Face,Lady Gaga,1.0,2009-01-03,2009-10-03,2009-02-28,2009-06-27,8.0,18.0,14.0,18.0,10.25,2.5714285714285716,22.95,40.0,1.0,3
Pleasant Valley SundayThe Monkees,Pleasant Valley Sunday,The Monkees,3.0,1967-07-22,1967-09-23,1967-08-05,1967-09-02,2.0,5.0,3.0,5.0,21.0,10.666666666666666,18.0,10.0,1.0,2
Can't You See That She's MineThe Dave Clark Five,Can't You See That She's Mine,The Dave Clark Five,4.0,1964-06-13,1964-08-15,1964-07-04,1964-07-25,3.0,4.0,3.0,4.0,19.333333333333332,8.0,20.1,10.0,1.0,9
Don't Sleep In The SubwayPetula Clark,Don't Sleep In The Subway,Petula Clark,5.0,1967-06-03,1967-08-05,1967-07-01,1967-07-15,4.0,3.0,3.0,3.0,16.5,12.333333333333334,27.3,10.0,1.0,9
Ayo Technology50 Cent Featuring Justin Timberlake & Timbaland,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,5.0,2007-08-25,2008-01-05,2007-09-29,2007-10-06,5.0,2.0,13.0,2.0,3.4,4.6923076923076925,22.8,20.0,1.0,7
"RonnieThe 4 Seasons Featuring the ""Sound of Frankie Valli""",Ronnie,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",6.0,1964-04-11,1964-06-13,1964-05-02,1964-05-23,3.0,4.0,3.0,4.0,16.333333333333332,12.333333333333334,21.7,10.0,1.0,9
Take These Chains From My HeartRay Charles,Take These Chains From My Heart,Ray Charles,8.0,1963-04-13,1963-06-22,1963-05-25,1963-05-25,6.0,1.0,4.0,1.0,10.333333333333334,10.5,27.454545454545453,11.0,1.0,9
(I Know) I'm Losing YouThe Temptations,(I Know) I'm Losing You,The Temptations,8.0,1966-11-19,1967-01-21,1966-12-24,1966-12-31,5.0,2.0,3.0,2.0,13.8,10.0,27.3,10.0,1.0,9
Show Me What You GotJAY-Z,Show Me What You Got,JAY-Z,8.0,2006-10-21,2007-01-27,2006-11-25,2006-11-25,5.0,1.0,9.0,1.0,16.4,8.444444444444445,50.0,15.0,1.0,9
Stairway To HeavenNeil Sedaka,Stairway To Heaven,Neil Sedaka,9.0,1960-03-26,1960-07-02,1960-05-07,1960-05-07,6.0,1.0,8.0,1.0,15.0,11.0,40.0,15.0,1.0,9
"Tell It To The RainThe 4 Seasons Featuring the ""Sound of Frankie Valli""",Tell It To The Rain,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",10.0,1966-12-10,1967-02-11,1967-01-21,1967-01-21,6.0,1.0,3.0,1.0,13.666666666666666,7.0,30.6,10.0,1.0,9
Please Remember MeTim McGraw,Please Remember Me,Tim McGraw,10.0,1999-04-03,1999-08-14,1999-05-01,1999-05-01,4.0,1.0,15.0,1.0,21.0,3.7333333333333334,29.35,20.0,1.0,7
Stay In My CornerThe Dells,Stay In My Corner,The Dells,10.0,1968-06-29,1968-09-21,1968-08-24,1968-09-07,8.0,3.0,2.0,3.0,9.875,13.0,28.692307692307693,13.0,1.0,9
Smooth CriminalMichael Jackson,Smooth Criminal,Michael Jackson,7.0,1988-11-12,1989-02-18,1989-01-07,1989-01-21,8.0,3.0,4.0,3.0,7.0,18.25,30.466666666666665,15.0,1.0,9
OneU2,One,U2,10.0,1992-03-14,1992-07-25,1992-05-16,1992-05-16,9.0,1.0,10.0,1.0,7.333333333333333,4.4,28.55,20.0,1.0,0
Big Poppa/WarningThe Notorious B.I.G.,Big Poppa/Warning,The Notorious B.I.G.,6.0,1995-01-14,1995-06-24,1995-03-18,1995-04-29,9.0,7.0,8.0,7.0,8.444444444444445,5.25,23.125,24.0,1.0,5
She CriedJay & The Americans,She Cried,Jay & The Americans,5.0,1962-03-17,1962-06-16,1962-05-12,1962-05-26,8.0,3.0,3.0,3.0,8.625,8.333333333333334,26.428571428571427,14.0,1.0,9
Reflections Of My LifeThe Marmalade,Reflections Of My Life,The Marmalade,10.0,1970-03-14,1970-06-20,1970-05-09,1970-05-23,8.0,3.0,4.0,3.0,10.75,7.75,29.066666666666666,15.0,1.0,9
Didn't I (Blow Your Mind)New Kids On The Block,Didn't I (Blow Your Mind),New Kids On The Block,8.0,1989-09-16,1990-01-20,1989-11-11,1989-11-18,8.0,2.0,9.0,2.0,7.375,10.222222222222221,44.473684210526315,19.0,1.0,0
Don't CryGuns N' Roses,Don't Cry,Guns N' Roses,10.0,1991-09-21,1992-02-01,1991-11-16,1991-11-23,8.0,2.0,10.0,2.0,8.25,3.6,24.65,20.0,1.0,0
People EverydayArrested Development,People Everyday,Arrested Development,8.0,1992-08-15,1993-01-16,1992-10-10,1992-10-31,8.0,4.0,11.0,4.0,9.25,3.6363636363636362,27.869565217391305,23.0,1.0,0
"Baby I Love Your Way (From ""Reality Bites"")Big Mountain","Baby I Love Your Way (From ""Reality Bites"")",Big Mountain,6.0,1994-02-26,1994-09-03,1994-05-07,1994-07-02,10.0,9.0,9.0,9.0,7.0,4.333333333333333,21.75,28.0,1.0,4
Boom ClapCharli XCX,Boom Clap,Charli XCX,8.0,2014-06-21,2014-12-06,2014-09-13,2014-10-04,12.0,4.0,9.0,4.0,4.333333333333333,4.555555555555555,22.04,25.0,1.0,4
Our Winter LoveBill Pursell,Our Winter Love,Bill Pursell,9.0,1963-02-02,1963-05-04,1963-03-30,1963-03-30,8.0,1.0,5.0,1.0,9.875,11.2,33.214285714285715,14.0,1.0,9
"Sing A SongEarth, Wind & Fire",Sing A Song,"Earth, Wind & Fire",5.0,1975-11-22,1976-03-13,1976-01-24,1976-02-14,9.0,4.0,4.0,4.0,7.0,15.75,29.058823529411764,17.0,1.0,0
Copacabana (at The Copa)Barry Manilow,Copacabana (at The Copa),Barry Manilow,8.0,1978-06-10,1978-09-23,1978-08-12,1978-08-19,9.0,2.0,5.0,2.0,6.666666666666667,18.2,35.5,16.0,1.0,0
Shine A Little LoveElectric Light Orchestra,Shine A Little Love,Electric Light Orchestra,8.0,1979-05-19,1979-08-25,1979-07-14,1979-07-28,8.0,3.0,4.0,3.0,6.0,21.25,27.666666666666668,15.0,1.0,9
Don't Talk To StrangersRick Springfield,Don't Talk To Strangers,Rick Springfield,2.0,1982-03-06,1982-07-24,1982-04-03,1982-06-12,4.0,11.0,6.0,11.0,12.25,15.833333333333334,25.80952380952381,21.0,1.0,5
Don't Tell 'EmJeremih Featuring YG,Don't Tell 'Em,Jeremih Featuring YG,6.0,2014-07-12,2015-02-07,2014-10-04,2014-11-22,12.0,8.0,11.0,8.0,6.583333333333333,3.3636363636363638,27.677419354838708,31.0,1.0,4
Don't Tell Me LiesBreathe,Don't Tell Me Lies,Breathe,10.0,1989-01-14,1989-04-29,1989-03-18,1989-03-18,9.0,1.0,6.0,1.0,9.555555555555555,13.5,39.3125,16.0,1.0,0
Don't Tell MeMadonna,Don't Tell Me,Madonna,4.0,2000-12-09,2001-04-28,2001-02-03,2001-03-24,8.0,8.0,5.0,8.0,9.25,7.2,22.238095238095237,21.0,1.0,5
My Heart Has A Mind Of Its OwnConnie Francis,My Heart Has A Mind Of Its Own,Connie Francis,1.0,1960-08-13,1960-12-03,1960-09-03,1960-11-05,3.0,10.0,4.0,10.0,15.666666666666666,13.5,17.176470588235293,17.0,1.0,2
Just Once In My LifeThe Righteous Brothers,Just Once In My Life,The Righteous Brothers,9.0,1965-04-10,1965-06-19,1965-05-15,1965-05-22,5.0,2.0,4.0,2.0,9.4,6.0,21.272727272727273,11.0,1.0,9
I Wish It Would RainThe Temptations,I Wish It Would Rain,The Temptations,4.0,1968-01-13,1968-04-13,1968-02-03,1968-03-16,3.0,7.0,4.0,7.0,15.333333333333334,11.0,20.0,14.0,1.0,2
Love On A Two-Way StreetThe Moments,Love On A Two-Way Street,The Moments,3.0,1970-04-11,1970-07-18,1970-05-23,1970-06-20,6.0,5.0,4.0,5.0,8.166666666666666,4.0,18.333333333333332,15.0,1.0,2
Lookin' Out My Back Door/Long As I Can See The LightCreedence Clearwater Revival,Lookin' Out My Back Door/Long As I Can See The Light,Creedence Clearwater Revival,2.0,1970-08-08,1970-10-31,1970-09-05,1970-10-17,4.0,7.0,2.0,7.0,11.5,14.0,15.692307692307692,13.0,1.0,2
Have You Ever Seen The Rain/Hey TonightCreedence Clearwater Revival,Have You Ever Seen The Rain/Hey Tonight,Creedence Clearwater Revival,8.0,1971-01-30,1971-04-03,1971-03-13,1971-03-13,6.0,1.0,3.0,1.0,8.0,5.333333333333333,21.4,10.0,1.0,9
FootlooseKenny Loggins,Footloose,Kenny Loggins,1.0,1984-01-28,1984-06-30,1984-03-10,1984-05-19,6.0,11.0,6.0,11.0,7.833333333333333,13.833333333333334,26.391304347826086,23.0,1.0,5
Let's Hear It For The BoyDeniece Williams,Let's Hear It For The Boy,Deniece Williams,1.0,1984-04-07,1984-08-11,1984-05-05,1984-06-30,4.0,9.0,6.0,9.0,11.75,11.166666666666666,23.105263157894736,19.0,1.0,5
Lover BoyBilly Ocean,Lover Boy,Billy Ocean,2.0,1984-12-01,1985-04-20,1985-01-26,1985-03-02,8.0,6.0,7.0,6.0,5.875,13.0,32.333333333333336,21.0,1.0,5
Lay Your Hands On MeThompson Twins,Lay Your Hands On Me,Thompson Twins,6.0,1985-09-21,1986-02-01,1985-11-09,1985-11-30,7.0,4.0,9.0,4.0,6.571428571428571,10.0,34.25,20.0,1.0,0
Love Will Conquer AllLionel Richie,Love Will Conquer All,Lionel Richie,9.0,1986-10-04,1987-01-31,1986-11-22,1986-12-06,7.0,3.0,8.0,3.0,6.571428571428571,11.0,35.94444444444444,18.0,1.0,0
NotoriousDuran Duran,Notorious,Duran Duran,2.0,1986-11-01,1987-02-21,1986-12-13,1987-01-17,6.0,6.0,5.0,6.0,8.0,15.6,24.58823529411765,17.0,1.0,2
Just Like ParadiseDavid Lee Roth,Just Like Paradise,David Lee Roth,6.0,1988-01-16,1988-04-30,1988-03-05,1988-03-19,7.0,3.0,6.0,3.0,7.0,12.0,31.4375,16.0,1.0,0
I Saw Him Standing ThereTiffany,I Saw Him Standing There,Tiffany,7.0,1988-02-27,1988-05-28,1988-04-16,1988-04-30,7.0,3.0,4.0,3.0,6.714285714285714,17.25,31.0,14.0,1.0,9
Eternal FlameThe Bangles,Eternal Flame,The Bangles,1.0,1989-02-04,1989-06-10,1989-03-18,1989-04-22,6.0,6.0,7.0,6.0,8.333333333333334,10.571428571428571,30.0,19.0,1.0,5
Love In An ElevatorAerosmith,Love In An Elevator,Aerosmith,5.0,1989-09-02,1989-12-16,1989-10-21,1989-11-04,7.0,3.0,6.0,3.0,7.0,14.5,31.875,16.0,1.0,0
Keep It TogetherMadonna,Keep It Together,Madonna,8.0,1990-02-03,1990-04-28,1990-03-24,1990-03-31,7.0,2.0,4.0,2.0,6.714285714285714,18.75,31.692307692307693,13.0,1.0,9
I'll Be Your ShelterTaylor Dayne,I'll Be Your Shelter,Taylor Dayne,4.0,1990-05-05,1990-09-01,1990-06-23,1990-07-14,7.0,4.0,7.0,4.0,6.571428571428571,11.428571428571429,31.72222222222222,18.0,1.0,0
"My, My, MyJohnny Gill","My, My, My",Johnny Gill,10.0,1990-08-04,1990-11-17,1990-09-29,1990-09-29,8.0,1.0,7.0,1.0,5.75,12.571428571428571,36.875,16.0,1.0,0
